Champion1_Blue,Champion2_Blue,Champion3_Blue,Champion4_Blue,Champion5_Blue,Champion1_Red,Champion2_Red,Champion3_Red,Champion4_Red,Champion5_Red,Result
Camille,Poppy,Qiyana,Tristana,Pantheon,Urgot,Brand,Twitch,Lucian,Milio,Red
Akali,Kayn,Ryze,Corki,Nautilus,Garen,Lillia,Leblanc,Jinx,Milio,Red
Camille,Sejuani,Hwei,Caitlyn,Rell,Jax,LeeSin,Lux,Jhin,Janna,Red
Camille,LeeSin,Hwei,Jhin,Sona,Vladimir,Skarner,Yasuo,Samira,Milio,Blue
Camille,JarvanIV,Xerath,Jhin,Nautilus,Jayce,Lillia,Lux,Seraphine,Senna,Red
Yone,Brand,Yasuo,Caitlyn,Janna,KSante,Taliyah,Talon,Lucian,Nami,Blue
Renekton,Skarner,Corki,Caitlyn,Janna,Teemo,LeeSin,Taliyah,Varus,Braum,Red
Yone,XinZhao,Jhin,Ahri,Ashe,Renekton,Lillia,Tristana,Caitlyn,Rell,Red
Darius,Brand,Corki,Ezreal,Pyke,Zac,Rumble,Tristana,Kalista,Bard,Blue
Volibear,Shyvana,Lux,Jinx,Leona,Zeri,LeeSin,Tristana,Kayle,Nautilus,Blue
Camille,Lillia,Zilean,Ashe,Janna,TwistedFate,Nunu,Tristana,Jhin,Zyra,Red
Darius,Nidalee,Ashe,Draven,Qiyana,Zilean,Lillia,Maokai,Lucian,Nami,Blue
Akshan,MasterYi,Tristana,Jinx,Thresh,Tryndamere,Gragas,Corki,Ashe,Sona,Red
Volibear,Kindred,Orianna,Jhin,Rumble,Tryndamere,Lillia,Zac,Varus,Camille,Blue
Jax,JarvanIV,Hwei,Varus,Thresh,Gragas,Nunu,Corki,Caitlyn,Morgana,Red
Qiyana,Taliyah,Lucian,Ziggs,Alistar,Aatrox,FiddleSticks,Ahri,Caitlyn,Nautilus,Blue
Renekton,Khazix,Leblanc,Kalista,Ashe,Vladimir,Lillia,Yasuo,Ezreal,Sona,Blue
KSante,Lillia,Taliyah,Jhin,Alistar,Volibear,Viego,Akali,MissFortune,Nautilus,Blue
Yasuo,Jax,Akali,Kalista,Hwei,Teemo,Belveth,Corki,Ashe,Swain,Blue
Yasuo,Shaco,Corki,Ashe,Senna,Garen,Zyra,Yone,Veigar,Caitlyn,Blue
Tryndamere,Taliyah,Heimerdinger,Yasuo,Yuumi,Garen,Diana,Corki,Ashe,Seraphine,Red
Darius,Gragas,Corki,Ashe,Illaoi,Jax,Gragas,Ahri,Vayne,Soraka,Red
Udyr,Rengar,Brand,Ashe,Blitzcrank,Gangplank,MasterYi,Corki,Jhin,Annie,Red
Mordekaiser,Zac,Corki,MissFortune,Zyra,Trundle,Ekko,Orianna,Caitlyn,Morgana,Blue
KSante,Kindred,Ahri,Lucian,Nami,Camille,Taliyah,Zed,Samira,Maokai,Red
Jax,Taliyah,Tristana,Xayah,Nautilus,Gragas,Vi,Orianna,Jhin,Leona,Blue
TwistedFate,Lillia,Hwei,Tristana,Leona,Renekton,Karthus,Ahri,Senna,Nautilus,Red
Shaco,Ashe,Leblanc,JarvanIV,Kalista,Camille,Sett,Hwei,Caitlyn,Thresh,Blue
Renekton,Jax,AurelionSol,Varus,Neeko,Samira,Kennen,Syndra,XinZhao,Alistar,Blue
Rumble,Viego,Azir,Senna,TahmKench,Gwen,JarvanIV,Orianna,Caitlyn,Nautilus,Blue
Jayce,XinZhao,Karma,Xayah,Milio,Darius,Rumble,AurelionSol,Jinx,Thresh,Red
Jax,Kindred,Galio,Caitlyn,Soraka,Akali,LeeSin,Syndra,Jhin,Nautilus,Blue
Vladimir,Khazix,Annie,Jhin,Senna,Yone,LeeSin,Syndra,Lucian,Rell,Blue
Draven,Zac,Rumble,Jinx,Pyke,Sett,Taliyah,Lux,Caitlyn,Rell,Red
Jax,Ivern,Akali,Jinx,Milio,Yone,LeeSin,Orianna,Varus,Xerath,Blue
Volibear,Zac,Corki,Samira,Leona,TwistedFate,Graves,Azir,Jinx,Alistar,Red
Zac,Vi,Taliyah,Vayne,Yuumi,Jax,Poppy,Katarina,Lucian,Sona,Red
Irelia,LeeSin,Lux,Twitch,Soraka,Gnar,Kindred,Taliyah,Varus,Rell,Blue
Camille,Volibear,Taliyah,Lucian,Nautilus,Aatrox,Ekko,Varus,Katarina,Nami,Blue
KSante,Rammus,Zac,Kaisa,Seraphine,TwistedFate,Lillia,Irelia,Varus,Ashe,Red
Skarner,Khazix,Taliyah,Corki,Thresh,Poppy,Kindred,Malphite,Seraphine,Sona,Blue
Volibear,Viego,Zac,Jinx,Seraphine,Singed,LeeSin,Corki,Qiyana,Ashe,Blue
Corki,Zac,Irelia,Rumble,Nami,Volibear,Nidalee,Talon,Senna,Nautilus,Red
Viego,Zac,Taliyah,Jhin,Nautilus,Gwen,Graves,Lux,Kalista,Poppy,Blue
KSante,Kindred,Syndra,Kalista,Rumble,Volibear,Brand,Gragas,Lucian,Nami,Blue
Fiora,Karthus,Ryze,Varus,Rakan,Volibear,Kindred,Fizz,Jinx,Camille,Red
Irelia,Taliyah,Vex,Varus,Milio,Gwen,Khazix,Yasuo,Kalista,Sona,Red
Sion,Shaco,Hwei,Jinx,Milio,Camille,Brand,Tristana,Corki,Pyke,Blue
Kindred,Vayne,Diana,Caitlyn,Lux,DrMundo,Gragas,Tryndamere,Tristana,Thresh,Blue
Vladimir,Nidalee,Akshan,Caitlyn,Milio,Jax,JarvanIV,Akali,Corki,Xerath,Red
Ezreal,Senna,Ahri,Diana,Nautilus,Gragas,Corki,Rumble,Jinx,Thresh,Blue
Draven,JarvanIV,Xerath,Caitlyn,Nami,Malphite,Rumble,Kalista,Lucian,Milio,Red
Rumble,Poppy,Corki,MissFortune,Seraphine,Camille,JarvanIV,Hwei,Samira,Blitzcrank,Blue
Camille,Nidalee,Annie,Kalista,Nautilus,LeeSin,Rammus,Taliyah,Lucian,Nami,Red
Leona,Diana,TwistedFate,Caitlyn,Yasuo,Tristana,Rumble,Renekton,Jhin,Hwei,Blue
MonkeyKing,Zyra,Vladimir,Caitlyn,Xerath,Viktor,JarvanIV,Katarina,Lucian,Nami,Red
